id,natural_cidade_campus,qtd_periodos_cursados,genero,cor
40,N,7,M,Parda
60,S,7,M,Branca
68,N,7,F,Parda
70,N,7,M,Branca
82,N,6,M,Parda
103,N,9,M,Parda
104,N,7,M,Branca
105,N,2,M,Preta
113,N,8,M,Preta
122,N,11,M,Parda
125,N,7,M,Parda
137,N,10,F,Parda
157,N,7,M,Preta
164,N,9,F,Preta
176,N,7,M,Branca
180,N,6,F,Parda
190,N,6,M,Branca
196,N,3,M,Preta
204,S,11,M,Branca
209,N,8,M,Parda
210,S,2,F,Parda
223,N,9,F,Branca
232,N,5,F,Branca
247,N,8,M,Parda
261,N,2,M,Parda
265,N,9,F,Branca
268,N,9,M,Branca
306,S,2,M,Branca
307,S,2,M,Branca
325,N,8,F,Parda
332,S,1,F,Branca
333,S,8,F,Branca
336,N,7,F,Branca
337,N,2,F,Branca
338,N,2,F,Branca
345,N,4,F,Branca
358,S,2,F,Branca
416,N,8,M,Parda
425,N,1,F,Preta
426,N,6,F,Preta
438,S,1,F,Branca
439,S,4,F,Branca
445,S,1,M,Parda
446,S,8,M,Parda
448,N,6,M,Parda
449,N,2,M,Parda
452,N,1,M,Branca
455,N,2,M,Parda
456,N,9,M,Parda
463,N,6,F,Parda
464,N,2,F,Parda
489,S,4,F,Preta
490,S,4,F,Preta
510,N,11,F,Parda
513,N,1,M,Branca
560,N,2,F,Branca
561,N,11,F,Branca
562,N,1,F,Branca
563,N,3,F,Branca
566,N,6,M,Branca
567,N,3,M,Branca
570,S,8,M,Branca
571,S,1,M,Branca
598,N,4,M,Parda
599,N,1,M,Parda
614,N,10,M,Branca
615,N,1,M,Branca
641,S,2,F,Parda
643,N,1,M,Branca
644,N,2,M,Branca
649,N,2,M,Branca
650,N,8,M,Branca
658,N,6,M,Preta
659,N,2,M,Preta
662,N,6,M,Branca
663,N,3,M,Branca
665,S,2,F,Branca
666,S,1,F,Branca
671,N,9,F,Parda
672,N,1,F,Parda
673,S,1,F,Branca
674,S,3,F,Branca
680,S,1,F,Preta
681,S,6,F,Preta
688,N,2,F,Branca
689,N,2,F,Branca
695,N,2,F,Preta
696,N,2,F,Preta
697,S,8,F,Parda
702,N,2,F,Parda
703,N,2,F,Parda
718,S,1,M,Preta
719,S,8,M,Preta
722,S,2,M,Branca
723,S,9,M,Branca
730,N,2,M,Branca
731,N,3,M,Branca
734,S,7,F,Parda
735,S,3,F,Parda
785,S,1,M,Parda
796,S,5,M,Preta
797,S,1,M,Preta
809,N,4,F,Branca
810,N,3,F,Branca
818,N,4,M,Branca
819,N,2,M,Branca
825,S,7,M,Parda
832,S,2,M,Branca
833,S,9,M,Branca
835,N,3,F,Parda
836,N,1,F,Parda
837,N,6,F,Branca
838,N,3,F,Branca
841,S,7,F,Parda
859,N,1,M,Branca
860,N,4,M,Branca
867,S,1,F,Parda
914,S,4,F,Branca
915,S,1,F,Branca
918,N,4,F,Branca
919,N,1,F,Branca
920,N,1,F,Branca
921,N,4,F,Branca
922,N,1,F,Branca
923,N,3,F,Branca
924,N,1,F,Branca
925,N,2,F,Branca
926,N,1,F,Branca
929,S,6,F,Parda
930,S,2,F,Parda
938,N,2,F,Parda
939,N,3,F,Parda
961,S,2,F,Parda
962,S,9,F,Parda
971,N,9,M,Branca
972,N,1,M,Branca
978,N,11,F,Parda
983,S,6,F,Parda
996,N,1,F,Parda
997,N,1,F,Parda
1001,N,10,F,Parda
1029,N,6,M,Branca
1038,N,8,F,Preta
1041,N,6,M,Parda
1042,N,7,M,Parda
1043,N,9,M,Branca
1052,N,10,M,Branca
1055,N,9,M,Branca
1060,N,6,M,Parda
1070,S,9,F,Amarela
1077,N,8,F,Branca
1079,N,10,F,Parda
1081,N,4,M,Branca
1093,N,4,F,Branca
1095,N,6,F,Parda
1128,N,8,F,Parda
1149,S,8,F,Parda
1151,N,6,F,Branca
1153,N,2,F,Branca
1157,N,3,F,Preta
1164,S,2,F,Branca
1165,N,10,F,Branca
1172,S,6,M,Branca
1176,N,4,M,Preta
1197,S,4,F,Branca
1201,N,6,F,Branca
1255,N,2,F,Parda
1262,N,4,M,Branca
1275,N,8,F,Parda
1281,N,2,M,Parda
1290,N,9,F,Branca
1297,S,8,F,Branca
1301,N,6,F,Branca
1306,S,1,M,Branca
1307,N,4,M,Parda
1313,S,4,M,Branca
1321,S,5,F,Branca
1337,N,9,F,Branca
1363,N,4,M,Branca
1364,S,8,M,Parda
1373,N,6,F,Parda
1380,N,2,F,Branca
1399,S,6,F,Preta
1408,N,5,F,Parda
1419,N,8,F,Parda
1423,N,6,F,Branca
1455,S,4,F,Preta
1456,S,4,F,Parda
1457,N,9,F,Branca
1459,S,6,F,Branca
1475,N,8,M,Parda
1483,N,8,F,Parda
1485,N,8,F,Parda
1494,N,9,F,Branca
1499,S,8,M,Parda
1501,N,4,M,Parda
1502,N,8,F,Branca
1512,N,8,M,Parda
1518,S,9,F,Parda
1534,N,9,M,Parda
1543,S,6,F,Branca
1564,N,9,F,Amarela
1571,N,4,F,Parda
1574,S,8,M,Parda
1588,N,4,F,Parda
1601,N,10,M,Parda
1619,N,8,F,Parda
1630,N,9,M,Parda
1631,N,2,M,Parda
1654,N,6,F,Parda
1676,N,4,F,Branca
1678,N,4,M,Parda
1685,N,10,F,Preta
1686,S,8,F,Parda
1700,N,8,M,Preta
1724,N,9,M,Parda
1749,N,3,F,Branca
1752,S,6,F,Amarela
