id,campus,curso,turno,ultima_avaliacao_mec,relacao_aluno_professor,perc_rfp_ate_1salmeio_curso,area_conhecimento,grau_academico
7,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
12,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
17,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
24,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
25,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
27,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
29,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
30,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
31,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
32,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
33,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
34,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
35,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
36,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
38,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
39,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
40,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
41,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
42,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
43,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
44,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
45,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
47,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
48,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
50,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
51,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
52,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
55,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
56,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
58,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
60,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
61,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
62,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
64,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
65,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
66,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
67,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
68,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
69,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
70,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
71,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
72,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
73,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
74,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
75,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
76,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
78,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
79,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
80,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
81,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
82,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
83,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
86,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
87,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
91,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
92,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
93,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
94,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
95,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
99,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
102,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
103,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
104,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
105,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
107,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
108,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
113,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
115,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
118,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
121,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
122,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
123,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
124,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
125,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
127,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
128,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
129,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
131,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
132,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
133,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
134,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
136,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
137,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
138,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
139,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
140,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
141,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
142,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
143,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
145,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
146,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
147,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
149,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
151,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
152,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
153,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
154,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
157,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
158,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
159,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
160,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
162,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
164,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
167,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
168,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
173,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
175,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
176,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
177,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
179,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
180,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
181,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
182,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
185,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
186,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
187,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
189,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
190,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
191,Arcos,Engenharia Mecânica,Integral,5,9.50,78,Engenharias,Bacharelado
