id,cr_geral,cr_antes_pandemia,cr_durante_pandemia,cr_primeiro_semestre_letivo,cr_primeiro_ano_letivo,perc_repr_geral,perc_repr_primeiro_semestre_letivo,perc_repr_primeiro_ano_letivo,qtd_aprovacoes,qtd_reprovacoes
7,25.65,25.65,0.00,19.00,36.33,82.35,100.00,75.00,3,14
12,81.94,81.94,0.00,76.50,79.25,5.56,16.67,8.33,17,1
17,72.83,0.00,0.00,72.83,72.83,16.67,16.67,16.67,5,1
24,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,0,6
25,55.55,67.83,81.50,67.83,72.90,31.82,16.67,10.00,15,7
27,17.85,17.85,0.00,0.00,13.43,100.00,100.00,100.00,0,13
29,74.55,78.11,81.63,80.83,78.11,15.00,0.00,0.00,34,6
30,26.67,26.67,0.00,26.67,26.67,100.00,100.00,100.00,0,6
31,31.83,0.00,31.83,63.67,31.83,66.67,33.33,66.67,4,8
32,1.83,1.83,0.00,1.83,1.83,100.00,100.00,100.00,0,6
33,40.00,0.00,0.00,0.00,33.17,55.56,100.00,58.33,8,10
34,47.00,57.76,1.80,52.33,60.30,53.85,50.00,40.00,12,14
35,56.62,0.00,71.00,69.17,31.92,28.12,0.00,53.85,23,9
36,6.00,6.00,0.00,6.00,6.00,100.00,100.00,100.00,0,1
38,92.00,92.00,0.00,92.00,92.00,0.00,0.00,0.00,6,0
39,3.00,3.00,0.00,3.00,3.00,100.00,100.00,100.00,0,6
40,75.94,0.00,92.74,0.00,45.54,17.78,100.00,50.00,37,8
41,74.32,81.92,82.15,83.25,82.07,10.53,0.00,0.00,51,6
42,36.44,0.00,36.44,13.67,36.44,55.56,83.33,55.56,4,5
43,43.03,0.00,80.00,0.00,36.46,54.55,100.00,61.54,15,18
44,24.70,0.00,35.33,50.00,26.43,85.00,50.00,78.57,3,17
45,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,0,4
47,85.51,85.80,90.77,88.25,85.50,3.28,0.00,0.00,59,2
48,39.67,39.67,0.00,39.67,39.67,83.33,83.33,83.33,1,5
50,28.10,26.92,29.82,42.20,30.27,73.81,60.00,81.82,11,31
51,7.80,7.80,0.00,13.00,7.80,100.00,100.00,100.00,0,10
52,44.70,0.00,44.70,80.00,44.70,60.00,0.00,60.00,4,6
55,41.33,41.33,0.00,22.50,41.33,66.67,100.00,66.67,4,8
56,1.33,1.33,0.00,1.33,1.33,100.00,100.00,100.00,0,6
58,34.43,59.57,2.71,0.00,0.00,64.71,100.00,100.00,18,33
60,78.87,0.00,91.48,97.14,94.54,13.64,0.00,0.00,38,6
61,49.78,0.00,74.67,0.00,38.00,38.89,100.00,58.33,11,7
62,22.29,22.29,0.00,3.25,22.29,85.71,100.00,85.71,2,12
64,41.72,0.00,0.00,0.00,35.92,44.44,100.00,50.00,10,8
