id,natural_cidade_campus,qtd_periodos_cursados,genero,cor
7,N,3,F,Branca
12,N,3,M,Parda
17,N,1,F,Parda
24,N,1,M,Branca
25,S,4,M,Parda
27,S,3,M,Parda
29,N,9,M,Branca
30,N,1,M,Branca
31,N,2,M,Branca
32,N,1,F,Parda
33,N,3,F,Branca
34,N,5,M,Branca
35,N,5,M,Branca
36,N,1,F,Parda
38,S,1,F,Branca
39,N,1,F,Branca
41,N,9,M,Preta
42,N,2,M,Branca
43,S,5,M,Parda
44,N,3,M,Parda
45,S,1,M,Branca
47,N,11,M,Branca
48,N,1,M,Branca
50,N,7,M,Branca
51,S,2,M,Branca
52,N,2,M,Preta
55,N,2,F,Branca
56,N,1,M,Parda
58,N,8,M,Parda
61,N,3,M,Branca
62,N,2,M,Branca
64,N,3,M,Parda
65,N,1,M,Branca
66,S,8,M,Parda
67,N,1,M,Branca
69,N,1,F,Branca
71,N,4,M,Parda
72,N,9,M,Branca
73,N,9,M,Branca
74,S,1,M,Amarela
75,N,2,M,Branca
76,N,3,M,Preta
78,S,7,M,Branca
79,N,1,M,Branca
80,N,1,F,Branca
81,N,1,F,Parda
83,N,4,M,Preta
86,N,2,M,Branca
87,N,7,M,Branca
91,N,1,M,Branca
92,N,1,M,Branca
93,S,1,M,Branca
94,S,2,M,Parda
95,N,2,M,Parda
99,N,2,M,Preta
102,N,1,M,Branca
107,N,4,M,Branca
108,N,1,M,Amarela
115,S,9,M,Parda
118,N,1,M,Parda
121,N,9,M,Branca
123,N,1,M,Branca
124,N,2,M,Branca
127,N,4,M,Branca
128,S,1,M,Branca
129,N,1,M,Parda
131,S,1,M,Parda
132,N,7,M,Branca
133,N,7,M,Preta
134,N,1,M,Amarela
136,N,2,M,Preta
138,N,5,F,Parda
139,N,2,F,Parda
140,N,11,M,Parda
141,N,1,M,Branca
142,N,1,M,Parda
143,N,3,M,Parda
145,S,2,M,Preta
146,N,1,M,Parda
147,N,1,M,Branca
149,N,5,M,Branca
151,N,3,M,Preta
152,S,11,M,Branca
153,S,7,M,Preta
154,N,11,M,Branca
158,N,6,M,Branca
159,N,2,M,Branca
160,N,2,M,Branca
162,N,1,M,Branca
167,N,9,M,Branca
168,N,1,F,Branca
173,N,7,M,Branca
175,N,1,M,Branca
177,N,5,M,Branca
179,N,5,F,Branca
181,S,7,M,Preta
182,S,2,M,Branca
185,N,2,M,Preta
186,N,1,M,Parda
187,N,7,M,Branca
189,N,4,M,Parda
191,N,10,M,Branca
192,N,2,M,Branca
193,N,2,M,Branca
194,N,9,M,Branca
195,N,2,M,Preta
197,S,1,M,Branca
198,N,7,M,Branca
199,N,1,M,Preta
200,N,1,M,Branca
206,N,7,M,Branca
208,N,2,M,Preta
211,N,1,F,Branca
213,N,2,M,Branca
214,N,9,M,Branca
215,N,3,M,Parda
216,N,2,M,Branca
217,N,1,M,Parda
218,N,1,M,Branca
219,N,1,M,Branca
221,N,1,F,Branca
222,N,7,M,Branca
224,S,1,F,Parda
225,N,9,M,Branca
226,N,5,M,Branca
227,N,3,M,Parda
228,N,7,M,Parda
231,N,1,M,Amarela
234,N,1,M,Parda
236,N,2,M,Preta
239,N,5,M,Branca
243,N,1,M,Parda
244,N,1,M,Parda
245,N,1,M,Parda
249,N,1,M,Branca
250,N,11,M,Branca
251,N,1,F,Branca
252,N,1,M,Parda
256,N,1,M,Parda
263,N,1,M,Parda
266,N,1,M,Branca
269,N,3,M,Preta
270,N,1,M,Branca
271,N,1,M,Branca
272,N,3,M,Parda
273,N,3,M,Branca
274,N,1,M,Parda
277,N,1,M,Branca
278,N,3,M,Parda
279,N,10,M,Parda
280,N,1,M,Parda
282,N,2,M,Parda
284,N,11,M,Parda
286,N,1,M,Parda
287,N,1,M,Branca
291,S,9,M,Parda
292,N,1,M,Parda
293,S,3,M,Branca
297,N,1,F,Parda
298,S,1,M,Branca
299,S,3,M,Branca
300,N,2,F,Parda
301,N,6,F,Parda
302,S,8,M,Branca
304,N,1,F,Parda
305,N,2,F,Parda
308,N,1,M,Branca
312,N,2,F,Branca
313,N,2,F,Branca
320,N,2,F,Branca
321,N,8,F,Branca
322,S,5,F,Branca
327,N,9,F,Branca
328,N,1,F,Branca
339,N,5,F,Parda
340,N,2,F,Parda
341,S,3,F,Branca
342,S,1,F,Branca
350,N,4,M,Parda
351,N,4,M,Parda
353,N,1,M,Parda
354,N,6,M,Parda
355,N,1,M,Parda
360,N,10,M,Parda
362,N,6,M,Branca
373,N,6,F,Branca
374,N,3,F,Branca
377,S,1,F,Parda
378,S,1,F,Parda
381,S,4,F,Parda
382,S,2,F,Parda
396,S,4,F,Branca
397,S,1,F,Branca
399,S,9,F,Parda
403,N,6,M,Branca
404,N,2,M,Branca
407,N,8,M,Parda
409,N,9,F,Branca
417,S,4,M,Branca
418,S,2,M,Branca
427,N,6,F,Parda
428,N,2,F,Parda
433,N,9,F,Branca
434,N,1,F,Branca
450,S,6,M,Parda
461,N,4,F,Parda
462,N,5,F,Parda
467,N,1,F,Parda
468,N,1,F,Parda
472,S,5,F,Branca
474,N,1,F,Branca
476,N,1,M,Branca
477,N,9,M,Branca
480,N,2,M,Parda
481,N,2,M,Parda
491,S,4,F,Branca
492,S,2,F,Branca
496,N,2,M,Branca
497,S,4,M,Branca
498,S,6,M,Branca
500,N,2,F,Branca
501,N,2,F,Branca
502,S,6,M,Branca
503,S,1,M,Branca
506,S,2,M,Branca
507,S,2,M,Branca
509,S,3,F,Parda
511,N,9,M,Branca
512,N,1,M,Branca
516,N,1,M,Branca
517,N,1,M,Branca
518,N,1,M,Branca
522,N,7,M,Branca
523,S,8,M,Parda
524,S,2,M,Parda
525,N,2,M,Branca
526,N,1,M,Branca
527,N,2,F,Parda
528,N,2,F,Parda
533,N,3,F,Branca
546,N,2,M,Branca
547,S,4,M,Branca
551,N,2,F,Parda
552,N,4,F,Parda
