id,idade_ingresso,ano_ingresso,tempo_entre_conclusao_em_ingresso,carga_horaria,forma_ingresso,curso,ano_conclusao,situacao_matricula
7,25,2018,6,3600,SISU,Engenharia Mecânica,0,Evadido
12,19,2018,1,3600,SISU,Engenharia Mecânica,0,Evadido
17,18,2022,1,3600,SISU,Engenharia Mecânica,0,Matriculado
24,35,2021,17,3600,SISU,Engenharia Mecânica,0,Evadido
25,18,2019,1,3600,SISU,Engenharia Mecânica,0,Evadido
27,27,2018,8,3600,SISU,Engenharia Mecânica,0,Evadido
29,25,2019,8,3600,SISU,Engenharia Mecânica,0,Matriculado
30,19,2018,1,3600,SISU,Engenharia Mecânica,0,Evadido
31,18,2021,1,3600,SISU,Engenharia Mecânica,0,Evadido
32,18,2019,1,3600,SISU,Engenharia Mecânica,0,Evadido
33,33,2022,15,3600,Vestibular,Engenharia Mecânica,0,Matriculado
34,20,2018,2,3600,SISU,Engenharia Mecânica,0,Evadido
35,19,2021,0,3600,SISU,Engenharia Mecânica,0,Matriculado
36,28,2018,11,3600,Obtenção de novo título,Engenharia Mecânica,0,Evadido
38,18,2019,1,3600,SISU,Engenharia Mecânica,0,Evadido
39,19,2019,1,3600,SISU,Engenharia Mecânica,0,Evadido
40,18,2020,1,3600,SISU,Engenharia Mecânica,0,Matriculado
41,19,2019,1,3600,SISU,Engenharia Mecânica,0,Matriculado
42,19,2021,1,3600,SISU,Engenharia Mecânica,0,Evadido
43,20,2021,2,3600,SISU,Engenharia Mecânica,0,Matriculado
44,18,2021,0,3600,SISU,Engenharia Mecânica,0,Evadido
45,27,2020,10,3600,Transferência externa,Engenharia Mecânica,0,Evadido
47,19,2018,1,3600,SISU,Engenharia Mecânica,0,Matriculado
48,18,2018,1,3600,SISU,Engenharia Mecânica,0,Evadido
50,18,2018,1,3600,SISU,Engenharia Mecânica,0,Evadido
51,19,2018,1,3600,SISU,Engenharia Mecânica,0,Evadido
52,19,2020,2,3600,SISU,Engenharia Mecânica,0,Evadido
55,19,2018,1,3600,SISU,Engenharia Mecânica,0,Evadido
56,19,2018,2,3600,Transferência externa,Engenharia Mecânica,0,Evadido
58,18,2019,1,3600,SISU,Engenharia Mecânica,0,Matriculado
60,19,2020,1,3600,SISU,Engenharia Mecânica,0,Matriculado
61,18,2021,1,3600,SISU,Engenharia Mecânica,0,Evadido
62,18,2019,1,3600,SISU,Engenharia Mecânica,0,Evadido
64,19,2022,1,3600,SISU,Engenharia Mecânica,0,Matriculado
65,19,2019,2,3600,SISU,Engenharia Mecânica,0,Evadido
66,23,2018,6,3600,Obtenção de novo título,Engenharia Mecânica,0,Matriculado
67,19,2022,1,3600,SISU,Engenharia Mecânica,0,Matriculado
68,20,2020,2,3600,SISU,Engenharia Mecânica,0,Matriculado
69,18,2020,1,3600,SISU,Engenharia Mecânica,0,Evadido
70,18,2020,1,3600,SISU,Engenharia Mecânica,0,Matriculado
71,18,2020,1,3600,SISU,Engenharia Mecânica,0,Matriculado
72,19,2019,1,3600,SISU,Engenharia Mecânica,0,Matriculado
73,18,2019,1,3600,SISU,Engenharia Mecânica,0,Matriculado
74,18,2019,1,3600,Vestibular,Engenharia Mecânica,0,Evadido
75,19,2020,1,3600,SISU,Engenharia Mecânica,0,Evadido
76,24,2022,7,3600,SISU,Engenharia Mecânica,0,Matriculado
78,18,2020,1,3600,SISU,Engenharia Mecânica,0,Matriculado
79,19,2018,1,3600,SISU,Engenharia Mecânica,0,Evadido
80,23,2021,6,3600,SISU,Engenharia Mecânica,0,Evadido
81,29,2021,12,3600,SISU,Engenharia Mecânica,0,Evadido
82,18,2019,1,3600,SISU,Engenharia Mecânica,0,Evadido
83,18,2020,1,3600,SISU,Engenharia Mecânica,0,Evadido
86,20,2022,2,3600,Transferência externa,Engenharia Mecânica,0,Matriculado
87,20,2020,2,3600,SISU,Engenharia Mecânica,0,Matriculado
91,21,2018,3,3600,Transferência externa,Engenharia Mecânica,0,Evadido
92,21,2019,3,3600,SISU,Engenharia Mecânica,0,Evadido
93,23,2022,5,3600,Vestibular,Engenharia Mecânica,0,Evadido
94,19,2022,1,3600,SISU,Engenharia Mecânica,0,Matriculado
95,18,2022,1,3600,SISU,Engenharia Mecânica,0,Evadido
99,25,2018,7,3600,SISU,Engenharia Mecânica,0,Evadido
102,21,2021,1,3600,SISU,Engenharia Mecânica,0,Evadido
103,19,2019,1,3600,SISU,Engenharia Mecânica,0,Matriculado
104,44,2020,25,3600,SISU,Engenharia Mecânica,0,Matriculado
105,18,2020,1,3600,SISU,Engenharia Mecânica,0,Evadido
107,19,2020,2,3600,SISU,Engenharia Mecânica,0,Evadido
108,20,2022,2,3600,SISU,Engenharia Mecânica,0,Evadido
113,20,2018,1,3600,SISU,Engenharia Mecânica,0,Evadido
115,18,2019,1,3600,SISU,Engenharia Mecânica,0,Matriculado
118,19,2020,2,3600,SISU,Engenharia Mecânica,0,Evadido
121,19,2019,1,3600,SISU,Engenharia Mecânica,0,Matriculado
122,19,2018,2,3600,SISU,Engenharia Mecânica,0,Matriculado
123,29,2018,11,3600,Obtenção de novo título,Engenharia Mecânica,0,Evadido
124,18,2018,1,3600,SISU,Engenharia Mecânica,0,Evadido
125,20,2019,2,3600,SISU,Engenharia Mecânica,0,Evadido
127,18,2021,0,3600,SISU,Engenharia Mecânica,0,Matriculado
128,19,2019,1,3600,SISU,Engenharia Mecânica,0,Evadido
129,29,2018,12,3600,SISU,Engenharia Mecânica,0,Evadido
131,22,2021,4,3600,SISU,Engenharia Mecânica,0,Evadido
132,19,2020,2,3600,SISU,Engenharia Mecânica,0,Matriculado
133,18,2020,1,3600,SISU,Engenharia Mecânica,0,Matriculado
134,18,2019,1,3600,SISU,Engenharia Mecânica,0,Evadido
136,18,2018,1,3600,SISU,Engenharia Mecânica,0,Evadido
137,20,2018,2,3600,SISU,Engenharia Mecânica,2022,Formado
138,18,2019,1,3600,SISU,Engenharia Mecânica,0,Evadido
139,20,2021,2,3600,Vestibular,Engenharia Mecânica,0,Evadido
140,19,2018,2,3600,SISU,Engenharia Mecânica,0,Matriculado
141,34,2022,8,3600,Vestibular,Engenharia Mecânica,0,Evadido
142,21,2018,1,3600,SISU,Engenharia Mecânica,0,Evadido
143,18,2022,1,3600,SISU,Engenharia Mecânica,0,Matriculado
145,18,2020,1,3600,SISU,Engenharia Mecânica,0,Evadido
146,19,2021,1,3600,SISU,Engenharia Mecânica,0,Evadido
147,19,2021,0,3600,SISU,Engenharia Mecânica,0,Evadido
149,18,2020,1,3600,SISU,Engenharia Mecânica,0,Matriculado
151,18,2019,1,3600,SISU,Engenharia Mecânica,0,Evadido
152,21,2018,4,3600,Transferência externa,Engenharia Mecânica,0,Matriculado
153,18,2020,1,3600,SISU,Engenharia Mecânica,0,Matriculado
154,19,2018,1,3600,SISU,Engenharia Mecânica,0,Matriculado
157,18,2020,1,3600,SISU,Engenharia Mecânica,0,Matriculado
158,18,2018,1,3600,SISU,Engenharia Mecânica,0,Evadido
159,19,2021,1,3600,SISU,Engenharia Mecânica,0,Evadido
160,30,2021,13,3600,SISU,Engenharia Mecânica,0,Matriculado
162,17,2018,0,3600,SISU,Engenharia Mecânica,0,Evadido
164,18,2019,1,3600,SISU,Engenharia Mecânica,0,Matriculado
167,23,2019,6,3600,SISU,Engenharia Mecânica,0,Matriculado
168,20,2020,3,3600,SISU,Engenharia Mecânica,0,Evadido
173,18,2020,1,3600,SISU,Engenharia Mecânica,0,Matriculado
175,22,2020,2,3600,SISU,Engenharia Mecânica,0,Evadido
176,18,2020,1,3600,SISU,Engenharia Mecânica,0,Matriculado
