id,auxilio_socioeconomico
40,BP3
60,BP4
68,BP3
70,BP4
82,BP3
103,BP4
104,BP4
105,BP2
113,BP4
122,BP2
125,BP3
137,BP3
157,BP3
164,BP4
176,BP2
180,BP3
190,BP4
196,BP2
204,BP4
209,BP2
210,BP3
223,BP3
232,BP3
247,BP2
261,BP2
265,BP2
268,BP3
306,BP3
307,BP3
325,BP2
332,BP3
333,BP3
336,BP2
337,BP2
338,BP2
345,BP2
358,BP3
416,BP3
425,BP2
426,BP2
438,BP3
439,BP3
445,BP3
446,BP3
448,BP3
449,BP3
452,BP4
455,BP3
456,BP3
463,BP4
464,BP4
489,BP2
490,BP2
510,BP3
513,BP2
560,BP3
561,BP3
562,BP3
563,BP3
566,BP3
567,BP3
570,BP4
571,BP4
598,BP4
599,BP4
614,BP3
615,BP3
641,BP4
643,BP3
644,BP3
649,BP3
650,BP3
658,BP3
659,BP3
662,BP3
663,BP3
665,BP4
666,BP4
671,BP3
672,BP3
673,BP3
674,BP3
680,BP2
681,BP2
688,BP2
689,BP2
695,BP4
696,BP4
697,BP4
702,BP2
703,BP2
718,BP3
719,BP3
722,BP3
723,BP3
730,BP4
731,BP4
734,BP3
735,BP3
785,BP3
796,BP4
797,BP4
809,BP3
810,BP3
818,BP3
819,BP3
825,BP3
832,BP3
833,BP3
835,BP4
836,BP4
837,BP3
838,BP3
841,BP2
859,BP2
860,BP2
867,BP3
914,BP3
915,BP3
918,BP3
919,BP3
920,BP3
921,BP2
922,BP2
923,BP2
924,BP2
925,BP2
926,BP2
929,BP4
930,BP4
938,BP4
939,BP4
961,BP3
962,BP3
971,BP3
972,BP3
978,BP3
983,BP4
996,BP2
997,BP2
1001,BP2
1029,BP3
1038,BP4
1041,BP3
1042,BP3
1043,BP3
1052,BP3
1055,BP3
1060,BP4
1070,BP3
1077,BP3
1079,BP3
1081,BP2
1093,BP3
1095,BP3
1128,BP4
1149,BP4
1151,BP3
1153,BP2
1157,BP2
1164,BP1
1165,BP4
1172,BP4
1176,BP3
1197,BP3
1201,BP3
1255,BP4
1262,BP3
1275,BP4
1281,BP3
1290,BP3
1297,BP3
1301,BP4
1306,BP3
1307,BP2
1313,BP3
1321,BP3
1337,BP3
1363,BP2
1364,BP4
1373,BP4
1380,BP4
1399,BP4
1408,BP3
1419,BP4
1423,BP3
1455,BP3
1456,BP3
1457,BP2
1459,BP4
1475,BP3
1483,BP4
1485,BP4
1494,BP4
1499,BP3
1501,BP3
1502,BP3
1512,BP4
1518,BP3
1534,BP2
1543,BP2
1564,BP2
1571,BP3
1574,BP4
1588,BP4
1601,BP4
1619,BP3
1630,BP3
1631,BP2
1654,BP3
1676,BP2
1678,BP2
1685,BP3
1686,BP4
1700,BP3
1724,BP2
1749,BP3
1752,BP3
1755,BP2
1770,BP2
1778,BP2
1779,BP2
1783,BP2
1791,BP3
1792,BP4
1796,BP4
1797,BP4
1799,BP3
1808,BP3
1810,BP4
1821,BP3
1822,BP4
1876,BP2
1877,BP4
1880,BP4
1922,BP3
1939,BP2
1945,BP2
1951,BP3
1954,BP4
1958,BP4
1964,BP3
1976,BP4
1979,BP3
1983,BP4
1997,BP3
2014,BP4
2024,BP4
2030,BP4
2031,BP4
2039,BP3
2041,BP2
2044,BP2
2048,BP2
2054,BP3
2059,BP3
2060,BP4
2062,BP3
2079,BP3
2091,BP3
2095,BP2
2100,BP2
2106,BP3
2112,BP4
2119,BP4
2127,BP4
2134,BP3
2135,BP4
2159,BP3
2164,BP4
2188,BP3
2193,BP3
2208,BP4
2215,BP2
2217,BP3
2225,BP3
2233,BP3
2245,BP3
2250,BP3
2251,BP4
2261,BP4
2262,BP2
2268,BP4
2271,BP2
2272,BP3
2281,BP4
2283,BP3
2284,BP4
2289,BP3
2295,BP4
2317,BP2
2331,BP3
2346,BP2
2348,BP2
2353,BP3
2357,BP3
2362,BP2
2378,BP3
2379,BP4
2387,BP2
2388,BP2
2392,BP3
2404,BP2
2409,BP3
2416,BP2
2440,BP2
2448,BP2
2453,BP4
2465,BP2
2476,BP3
2477,BP3
2484,BP4
2489,BP2
2497,BP3
2520,BP4
2526,BP4
2528,BP4
2566,BP2
2573,BP2
2579,BP4
2581,BP3
2584,BP4
2586,BP3
2587,BP2
2588,BP3
2603,BP3
2606,BP3
2607,BP4
2609,BP4
2613,BP4
2614,BP3
2617,BP3
2628,BP3
2636,BP4
2638,BP2
2651,BP3
2671,BP4
2718,BP3
2726,BP4
2771,BP4
2780,BP2
2785,BP3
2799,BP4
2817,BP3
2819,BP3
2829,BP4
2838,BP4
2843,BP2
2858,BP3
2878,BP3
2906,BP4
2911,BP4
2926,BP3
2927,BP4
2959,BP3
2960,BP3
2974,BP2
2975,BP3
2986,BP3
3027,BP3
3040,BP2
3044,BP2
3103,BP3
3118,BP4
3122,BP3
3125,BP4
3136,BP2
3141,BP3
3154,BP3
3157,BP2
3159,BP3
3172,BP4
3173,BP2
3179,BP4
3192,BP2
3204,BP4
3207,BP4
3213,BP3
3216,BP3
3225,BP2
3242,BP3
3247,BP1
3260,BP3
3279,BP2
3291,BP4
3314,BP3
3319,BP4
3320,BP4
3330,BP4
3336,BP2
3339,BP4
3360,BP3
3361,BP3
3369,BP3
3371,BP4
3374,BP3
3377,BP4
3389,BP4
3394,BP3
3395,BP3
3407,BP3
3445,BP4
3483,BP2
3526,BP4
3535,BP3
3545,BP2
3577,BP2
3579,BP2
3614,BP3
3677,BP4
3692,BP3
3693,BP3
3698,BP4
3717,BP2
3718,BP2
3744,BP4
3748,BP2
3783,BP3
3861,BP3
4020,BP4
4069,BP3
4075,BP3
4105,BP4
4109,BP3
4115,BP4
4116,BP2
4128,BP2
4129,BP2
4135,BP4
4140,BP2
4150,BP4
4151,BP4
4158,BP4
4166,BP3
4167,BP3
4170,BP2
4174,BP4
4175,BP4
4183,BP1
4188,BP4
4200,BP3
4202,BP4
4203,BP4
4213,BP3
4216,BP3
4217,BP3
4219,BP4
4220,BP4
4222,BP4
4223,BP4
4226,BP3
4227,BP3
4234,BP4
4235,BP4
4237,BP4
4242,BP4
4243,BP4
4245,BP1
4247,BP4
4248,BP4
4250,BP2
4275,BP3
4286,BP2
4287,BP2
4294,BP4
4299,BP4
4304,BP2
4310,BP2
4324,BP4
4359,BP1
4363,BP1
4369,BP3
4373,BP2
4380,BP2
4384,BP4
4387,BP2
4393,BP3
4397,BP3
4398,BP3
4399,BP3
4414,BP3
4416,BP3
4438,BP2
4440,BP3
4444,BP3
4468,BP3
4481,BP4
4504,BP4
4517,BP4
4523,BP4
4526,BP4
4538,BP4
4557,BP4
4571,BP4
4578,BP4
4604,BP3
4633,BP4
4638,BP4
4648,BP1
4669,BP3
4672,BP3
4675,BP1
4676,BP4
4678,BP2
4685,BP4
4716,BP2
4719,BP4
4721,BP4
4742,BP4
4744,BP3
4764,BP3
4776,BP4
4788,BP4
4801,BP4
4811,BP4
4813,BP4
4817,BP3
4827,BP4
4835,BP3
4842,BP4
4846,BP4
4854,BP2
4855,BP4
4871,BP3
4874,BP3
4887,BP4
4895,BP4
4897,BP4
4936,BP2
4949,BP2
4964,BP2
4969,BP3
5019,BP4
5025,BP4
5031,BP3
5047,BP3
5058,BP4
5072,BP3
5086,BP2
5112,BP4
5113,BP1
5123,BP3
5144,BP4
5146,BP1
5151,BP3
5154,BP4
5179,BP4
5185,BP4
5251,BP4
5260,BP3
5269,BP4
5311,BP4
5316,BP2
5317,BP4
5339,BP4
5346,BP4
5347,BP4
5350,BP4
5351,BP4
5364,BP2
5366,BP2
5377,BP3
5389,BP4
5397,BP4
5409,BP1
5428,BP3
5437,BP3
5458,BP3
5469,BP3
5482,BP4
5483,BP4
5493,BP4
5495,BP4
5496,BP4
5509,BP4
5515,BP4
5520,BP3
5535,BP3
5538,BP2
5545,BP4
5546,BP4
5567,BP3
5568,BP3
5570,BP4
5574,BP3
5580,BP4
5581,BP4
5593,BP4
5594,BP4
5595,BP4
5607,BP4
5623,BP3
5627,BP4
5628,BP4
5636,BP4
5641,BP4
5642,BP4
5658,BP4
5659,BP4
5678,BP2
5679,BP2
5685,BP4
5686,BP3
5707,BP3
5710,BP3
5716,BP3
5721,BP3
5725,BP4
5726,BP4
5735,BP4
5737,BP4
5744,BP2
5772,BP2
5777,BP2
5784,BP3
5787,BP2
5788,BP4
5804,BP2
5822,BP4
5833,BP4
5848,BP3
5852,BP4
5881,BP2
5897,BP4
5908,BP3
5909,BP4
5915,BP4
5921,BP4
5938,BP4
5951,BP2
5961,BP3
5977,BP4
5989,BP3
5990,BP2
5996,BP3
6006,BP4
6008,BP3
6054,BP3
6074,BP3
6079,BP4
6080,BP3
6081,BP4
6095,BP4
6097,BP3
6120,BP4
6124,BP4
6141,BP3
6143,BP3
6152,BP4
6153,BP3
6155,BP2
6156,BP4
6172,BP3
6176,BP4
6192,BP4
6197,BP3
6200,BP3
6218,BP4
6223,BP3
6238,BP4
6268,BP3
6276,BP3
6279,BP4
6280,BP3
6318,BP4
6336,BP3
6339,BP4
6340,BP4
6359,BP1
6363,BP3
6365,BP3
6369,BP3
6370,BP4
6380,BP3
6394,BP3
6397,BP2
6426,BP4
6429,BP2
6433,BP2
6434,BP3
6449,BP3
6450,BP4
6455,BP3
6462,BP3
